"Country name","Measurements"
"Afghanistan",4
"United Arab Emirates",1424
"Antarctica",1
"Fr. S. Antarctic Lands",1
"Australia",17053
"Austria",2621
"Belgium",17996
"Brazil",1468
"Canada",17030
"Switzerland",5462
"China",22071
"Colombia",2
"Costa Rica",10837
"Czech Rep.",1
"Germany",30137
"Dominican Rep.",4900
"Spain",2741
"Ethiopia",1
"Finland",27678
"France",48406
"United Kingdom",19414
"Greece",2
"Croatia",33579
"Haiti",12524
"India",337
"Ireland",7529
"Iran",1
"Israel",7
"Italy",2304
"Japan",11313853
"Kazakhstan",1
"Korea",31731
"Lao PDR",1
"Luxembourg",698
"Madagascar",1
"Mexico",2488
"Myanmar",1
"Mongolia",1
"Malaysia",15565
"Netherlands",33078
"Norway",18632
"New Zealand",9196
"Oman",1
"Pakistan",2
"Russia",61
"Sudan",11743
"Sweden",342
"Thailand",2
"Turkey",30
"Taiwan",346
"Ukraine",63016
"Uruguay",1
"United States",1433576
"South Africa",2935
